algorithm,property,clients,ops,seeds,violations,errors,timeouts,violation_rate,first_violation_seed,error_kind,aborted,seconds
treedoc,weak-list-spec,3,50,2000,0,0,0,0.0,0,,0,28.66
automerge,convergence,3,50,2000,0,0,0,0.0,0,,0,2.56
woot,forward-interleaving,3,50,2000,437,0,0,0.2185,8,,0,21.13
woot,weak-list-spec,3,50,2000,0,0,0,0.0,0,,0,31.83
wooto,forward-interleaving,3,50,2000,437,0,0,0.2185,8,,0,16.42
automerge,strong-list-spec,3,50,2000,0,0,0,0.0,0,,0,9.64
wooto,strong-list-spec,3,50,2000,0,0,0,0.0,0,,0,24.32
automerge,interleaving,3,50,2000,1778,0,0,0.889,1,,0,5.75
collabs,convergence,3,50,2000,0,0,0,0.0,0,,0,5.6
woot,interleaving,3,50,2000,643,0,0,0.3215,6,,0,35.3
automerge,forward-interleaving,3,50,2000,0,0,0,0.0,0,,0,11.5
fugue,convergence,3,50,2000,0,0,0,0.0,0,,0,1.74
wooto,interleaving,3,50,2000,643,0,0,0.3215,6,,0,27.22
automerge,weak-list-spec,3,50,2000,0,0,0,0.0,0,,0,28.61
wooto,weak-list-spec,3,50,2000,0,0,0,0.0,0,,0,46.11
collabs,strong-list-spec,3,50,2000,0,0,0,0.0,0,,0,15.9
loro,convergence,3,50,2000,0,0,0,0.0,0,,0,4.6
fugue,strong-list-spec,3,50,2000,0,0,0,0.0,0,,0,12.86
fugue,forward-interleaving,3,50,2000,0,0,0,0.0,0,,0,11.21
collabs,forward-interleaving,3,50,2000,0,0,0,0.0,0,,0,23.98
fugue,weak-list-spec,3,50,2000,0,0,0,0.0,0,,0,22.51
rga,convergence,3,50,2000,0,0,0,0.0,0,,0,1.44
loro,strong-list-spec,3,50,2000,0,0,0,0.0,0,,0,11.97
loro,forward-interleaving,3,50,2000,0,0,0,0.0,0,,0,12.31
fugue,interleaving,3,50,2000,226,0,0,0.113,1,,0,23.7
rga,strong-list-spec,3,50,2000,0,0,0,0.0,0,,0,8.96
rga-s4,convergence,3,50,2000,0,0,0,0.0,0,,0,2.38
rga,interleaving,3,50,2000,1778,0,0,0.889,1,,0,5.77
rga,forward-interleaving,3,50,2000,0,0,0,0.0,0,,0,11.27
rga,weak-list-spec,3,50,2000,0,0,0,0.0,0,,0,22.48
loro,interleaving,3,50,2000,265,0,0,0.1325,10,,0,26.46
sync9,convergence,3,50,2000,0,0,0,0.0,0,,0,2.03
collabs,interleaving,3,50,2000,198,0,0,0.099,6,,0,52.39
rga-s4,interleaving,3,50,2000,1820,0,0,0.91,1,,0,4.87
rga-s4,strong-list-spec,3,50,2000,0,0,0,0.0,0,,0,10.02
collabs,weak-list-spec,3,50,2000,0,0,0,0.0,0,,0,55.05
loro,weak-list-spec,3,50,2000,0,0,0,0.0,0,,0,37.94
twc,convergence,3,50,2000,0,0,0,0.0,0,,0,4.55
rga-s4,forward-interleaving,3,50,2000,0,0,0,0.0,0,,0,15.36
sync9,forward-interleaving,3,50,2000,0,0,0,0.0,0,,0,12.77
sync9,strong-list-spec,3,50,2000,0,0,0,0.0,0,,0,16.67
twc,strong-list-spec,3,50,2000,0,0,0,0.0,0,,0,12.85
yjs,convergence,3,50,2000,0,0,0,0.0,0,,0,3.2
twc,interleaving,3,50,2000,1865,0,0,0.9325,1,,0,8.3
sync9,interleaving,3,50,2000,265,0,0,0.1325,10,,0,21.53
sync9,weak-list-spec,3,50,2000,0,0,0,0.0,0,,0,24.29
twc,weak-list-spec,3,50,2000,0,0,0,0.0,0,,0,19.74
twc,forward-interleaving,3,50,2000,0,0,0,0.0,0,,0,16.13
yjsmod,convergence,3,50,2000,0,0,0,0.0,0,,0,1.75
rga-s4,weak-list-spec,3,50,2000,0,0,0,0.0,0,,0,36.07
yjsmod,strong-list-spec,3,50,2000,0,0,0,0.0,0,,0,8.97
yjs,strong-list-spec,3,50,2000,0,0,0,0.0,0,,0,15.95
yjs,forward-interleaving,3,50,2000,0,0,0,0.0,0,,0,16.44
diamondtypes,convergence,3,50,2000,0,0,0,0.0,0,,0,4.45
yjs,interleaving,3,50,2000,386,0,0,0.193,6,,0,17.69
yjsmod,forward-interleaving,3,50,2000,0,0,0,0.0,0,,0,15.51
fuguemax,convergence,3,50,2000,0,0,0,0.0,0,,0,2.3
yjsmod,weak-list-spec,3,50,2000,0,0,0,0.0,0,,0,24.27
yjsmod,interleaving,3,50,2000,0,0,0,0.0,0,,0,22.11
diamondtypes,strong-list-spec,3,50,2000,0,0,0,0.0,0,,0,11.8
diamondtypes,forward-interleaving,3,50,2000,0,0,0,0.0,0,,0,17.32
fuguemax,strong-list-spec,3,50,2000,0,0,0,0.0,0,,0,9.47
fuguemax,forward-interleaving,3,50,2000,0,0,0,0.0,0,,0,11.68
yjs,weak-list-spec,3,50,2000,0,0,0,0.0,0,,0,42.53
diamondtypes,interleaving,3,50,2000,0,0,0,0.0,0,,0,27.88
fuguemax,interleaving,3,50,2000,0,0,0,0.0,0,,0,19.36
fuguemax,weak-list-spec,3,50,2000,0,0,0,0.0,0,,0,26.24
diamondtypes,weak-list-spec,3,50,2000,0,0,0,0.0,0,,0,34.65
